Time,IPAddress,Value,Type,Critic,Observe
54:39,fd00::c30c:0:0:2,30.0,temperature,0,0
54:39,fd00::c30c:0:0:2,31.0,temperature,1,1
54:41,fd00::c30c:0:0:2,32.0,temperature,1,2
54:43,fd00::c30c:0:0:2,33.0,temperature,1,3
54:45,fd00::c30c:0:0:2,34.0,temperature,1,4
54:47,fd00::c30c:0:0:2,35.0,temperature,1,5
54:49,fd00::c30c:0:0:2,36.0,temperature,1,6
54:51,fd00::c30c:0:0:2,37.0,temperature,1,7
54:53,fd00::c30c:0:0:2,38.0,temperature,1,8
54:55,fd00::c30c:0:0:2,39.0,temperature,1,9
54:57,fd00::c30c:0:0:2,39.0,temperature,1,10
54:59,fd00::c30c:0:0:2,40.0,temperature,1,11
55:1,fd00::c30c:0:0:2,39.0,temperature,1,12
55:3,fd00::c30c:0:0:2,39.0,temperature,1,13
55:5,fd00::c30c:0:0:2,39.0,temperature,1,14
55:7,fd00::c30c:0:0:2,39.0,temperature,1,15
55:9,fd00::c30c:0:0:2,39.0,temperature,1,16
55:11,fd00::c30c:0:0:2,38.0,temperature,1,17
55:13,fd00::c30c:0:0:2,38.0,temperature,1,18
55:15,fd00::c30c:0:0:2,37.0,temperature,1,19
55:17,fd00::c30c:0:0:2,36.0,temperature,1,20
55:19,fd00::c30c:0:0:2,35.0,temperature,1,21
55:21,fd00::c30c:0:0:2,34.0,temperature,1,22
55:23,fd00::c30c:0:0:2,33.0,temperature,1,23
55:25,fd00::c30c:0:0:2,32.0,temperature,1,24
55:27,fd00::c30c:0:0:2,30.0,temperature,1,25
55:29,fd00::c30c:0:0:2,29.0,temperature,0,26
55:31,fd00::c30c:0:0:2,28.0,temperature,0,27
55:33,fd00::c30c:0:0:2,26.0,temperature,0,28
55:35,fd00::c30c:0:0:2,25.0,temperature,0,29
55:37,fd00::c30c:0:0:2,24.0,temperature,0,30
55:39,fd00::c30c:0:0:2,22.0,temperature,0,31
55:41,fd00::c30c:0:0:2,21.0,temperature,0,32
55:43,fd00::c30c:0:0:2,20.0,temperature,0,33
55:45,fd00::c30c:0:0:2,19.0,temperature,0,34
55:47,fd00::c30c:0:0:2,18.0,temperature,0,35
55:49,fd00::c30c:0:0:2,17.0,temperature,0,36
55:51,fd00::c30c:0:0:2,16.0,temperature,0,37
55:53,fd00::c30c:0:0:2,16.0,temperature,0,38
55:55,fd00::c30c:0:0:2,15.0,temperature,0,39
55:57,fd00::c30c:0:0:2,15.0,temperature,0,40
55:59,fd00::c30c:0:0:2,15.0,temperature,0,41
56:1,fd00::c30c:0:0:2,15.0,temperature,0,42
56:3,fd00::c30c:0:0:2,15.0,temperature,0,43
56:5,fd00::c30c:0:0:2,15.0,temperature,0,44
56:7,fd00::c30c:0:0:2,15.0,temperature,0,45
56:9,fd00::c30c:0:0:2,15.0,temperature,0,46
56:11,fd00::c30c:0:0:2,16.0,temperature,0,47
56:13,fd00::c30c:0:0:2,17.0,temperature,0,48
56:15,fd00::c30c:0:0:2,18.0,temperature,0,49
56:17,fd00::c30c:0:0:2,18.0,temperature,0,50
56:19,fd00::c30c:0:0:2,20.0,temperature,0,51
56:21,fd00::c30c:0:0:2,21.0,temperature,0,52
56:23,fd00::c30c:0:0:2,22.0,temperature,0,53
56:25,fd00::c30c:0:0:2,23.0,temperature,0,54
56:27,fd00::c30c:0:0:2,24.0,temperature,0,55
56:29,fd00::c30c:0:0:2,26.0,temperature,0,56
56:31,fd00::c30c:0:0:2,27.0,temperature,0,57
56:37,fd00::c30c:0:0:2,30.0,temperature,1,58